source_type,source_file,source_page,collected_at,company,title,job_category,location,deadline,web_scraper_order,web_scraper_start_url,category,cateogory,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,번호,기업명(약어),기업명(정식명),공고제목,위치,마감일,직무,수집일시,페이지
jobkorea,jobkorea_webscraper.xlsx,,2026-08-24 07:11:19,㈜아이엠비씨,㈜아이엠비씨 각 부문별 신입/경력 채용,AI기획자,,2026-08-28,1787552730-1,https://www.jobkorea.co.kr/Top100/?Main_Career_Type=1&Search_Type=1&BizJobtype_Bctgr_Code=10026&BizJobtype_Bctgr_Name=%EA%B8%B0%ED%9A%8D%C2%B7%EC%A0%84%EB%9E%B5&BizJobtype_Code=1000414&BizJobtype_Name=AI%EA%B8%B0%ED%9A%8D%EC%9E%90&Major_Big_Code=0&Major_Big_Name=%EC%A0%84%EC%B2%B4&Major_Code=0&Major_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Code=9&Edu_Level_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Name=%EC%A0%84%EC%B2%B4&MidScroll=&duty-depth1=on,AI기획자,경영·비즈니스기획,백엔드개발자,시스템엔지니어 외,상승1,신입·경력,"정규직, 계약직",상승,1,대졸↑,관심기업,스크랩,홈페이지 지원,서울,nan,nan,nan,nan,nan,nan,nan,nan,nan
jobkorea,jobkorea_webscraper.xlsx,,2026-08-24 07:11:19,㈜판타지오,[판타지오] 각 분야 신입 및 경력 채용,경영·비즈니스기획,,2026-10-07,1787552730-2,https://www.jobkorea.co.kr/Top100/?Main_Career_Type=1&Search_Type=1&BizJobtype_Bctgr_Code=10026&BizJobtype_Bctgr_Name=%EA%B8%B0%ED%9A%8D%C2%B7%EC%A0%84%EB%9E%B5&BizJobtype_Code=1000414&BizJobtype_Name=AI%EA%B8%B0%ED%9A%8D%EC%9E%90&Major_Big_Code=0&Major_Big_Name=%EC%A0%84%EC%B2%B4&Major_Code=0&Major_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Code=9&Edu_Level_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Name=%EC%A0%84%EC%B2%B4&MidScroll=&duty-depth1=on,경영·비즈니스기획,마케팅기획,AI기획자,회계담당자 외,하락1,신입·경력,정규직,하락,2,학력무관,관심기업,스크랩,즉시지원,서울,nan,nan,nan,nan,nan,nan,nan,nan,nan
jobkorea,jobkorea_webscraper.xlsx,,2026-08-24 07:11:19,㈜버블탭,덕업일치 AI캐릭터챗 팅글 서비스 기획자,PL·PM·PO,,2026-09-13,1787552730-3,https://www.jobkorea.co.kr/Top100/?Main_Career_Type=1&Search_Type=1&BizJobtype_Bctgr_Code=10026&BizJobtype_Bctgr_Name=%EA%B8%B0%ED%9A%8D%C2%B7%EC%A0%84%EB%9E%B5&BizJobtype_Code=1000414&BizJobtype_Name=AI%EA%B8%B0%ED%9A%8D%EC%9E%90&Major_Big_Code=0&Major_Big_Name=%EC%A0%84%EC%B2%B4&Major_Code=0&Major_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Code=9&Edu_Level_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Name=%EC%A0%84%EC%B2%B4&MidScroll=&duty-depth1=on,PL·PM·PO,AI기획자,,,상승4,경력무관,정규직,상승,3,학력무관,관심기업,스크랩,즉시지원,서울,nan,nan,nan,nan,nan,nan,nan,nan,nan
jobkorea,jobkorea_webscraper.xlsx,,2026-08-24 07:11:19,㈜컨포트랩,[신입/경력] 프로덕트 매니저(PM/PO),PL·PM·PO,,2026-08-29,1787552730-4,https://www.jobkorea.co.kr/Top100/?Main_Career_Type=1&Search_Type=1&BizJobtype_Bctgr_Code=10026&BizJobtype_Bctgr_Name=%EA%B8%B0%ED%9A%8D%C2%B7%EC%A0%84%EB%9E%B5&BizJobtype_Code=1000414&BizJobtype_Name=AI%EA%B8%B0%ED%9A%8D%EC%9E%90&Major_Big_Code=0&Major_Big_Name=%EC%A0%84%EC%B2%B4&Major_Code=0&Major_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Code=9&Edu_Level_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Name=%EC%A0%84%EC%B2%B4&MidScroll=&duty-depth1=on,PL·PM·PO,AI기획자,웹기획,,유지,신입·경력,정규직,유지,4,대졸↑,관심기업,스크랩,즉시지원,서울,nan,nan,nan,nan,nan,nan,nan,nan,nan
jobkorea,jobkorea_webscraper.xlsx,,2026-08-24 07:11:19,링크투어스㈜,IT 기획 / 스마트팩토리 PM(프로젝트 매니저) 채용 (서울 잠실 근무),웹기획,,2026-09-10,1787552730-5,https://www.jobkorea.co.kr/Top100/?Main_Career_Type=1&Search_Type=1&BizJobtype_Bctgr_Code=10026&BizJobtype_Bctgr_Name=%EA%B8%B0%ED%9A%8D%C2%B7%EC%A0%84%EB%9E%B5&BizJobtype_Code=1000414&BizJobtype_Name=AI%EA%B8%B0%ED%9A%8D%EC%9E%90&Major_Big_Code=0&Major_Big_Name=%EC%A0%84%EC%B2%B4&Major_Code=0&Major_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Code=9&Edu_Level_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Name=%EC%A0%84%EC%B2%B4&MidScroll=&duty-depth1=on,웹기획,PL·PM·PO,AI기획자,,하락2,신입·경력,정규직,하락,5,초대졸↑,관심기업,스크랩,즉시지원,서울,nan,nan,nan,nan,nan,nan,nan,nan,nan
jobkorea,jobkorea_webscraper.xlsx,,2026-08-24 07:11:19,㈜고워드,[고워드] Product Owner,AI기획자,,2026-09-08,1787552730-6,https://www.jobkorea.co.kr/Top100/?Main_Career_Type=1&Search_Type=1&BizJobtype_Bctgr_Code=10026&BizJobtype_Bctgr_Name=%EA%B8%B0%ED%9A%8D%C2%B7%EC%A0%84%EB%9E%B5&BizJobtype_Code=1000414&BizJobtype_Name=AI%EA%B8%B0%ED%9A%8D%EC%9E%90&Major_Big_Code=0&Major_Big_Name=%EC%A0%84%EC%B2%B4&Major_Code=0&Major_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Code=9&Edu_Level_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Name=%EC%A0%84%EC%B2%B4&MidScroll=&duty-depth1=on,AI기획자,AI사업전략,PL·PM·PO,,하락1,신입·경력,"정규직, 계약직",하락,6,대졸↑,관심기업,스크랩,즉시지원,서울,nan,nan,nan,nan,nan,nan,nan,nan,nan
jobkorea,jobkorea_webscraper.xlsx,,2026-08-24 07:11:19,㈜민병철교육그룹,B2B 마케팅 AI-First 인턴,마케팅,,2026-09-04,1787552730-7,https://www.jobkorea.co.kr/Top100/?Main_Career_Type=1&Search_Type=1&BizJobtype_Bctgr_Code=10026&BizJobtype_Bctgr_Name=%EA%B8%B0%ED%9A%8D%C2%B7%EC%A0%84%EB%9E%B5&BizJobtype_Code=1000414&BizJobtype_Name=AI%EA%B8%B0%ED%9A%8D%EC%9E%90&Major_Big_Code=0&Major_Big_Name=%EC%A0%84%EC%B2%B4&Major_Code=0&Major_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Code=9&Edu_Level_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Name=%EC%A0%84%EC%B2%B4&MidScroll=&duty-depth1=on,마케팅기획,AI기획자,AI사업전략,,NEWNEW,인턴·경력무관,인턴,NEW,7,학력무관,관심기업,스크랩,즉시지원,서울,nan,nan,nan,nan,nan,nan,nan,nan,nan
jobkorea,jobkorea_webscraper.xlsx,,2026-08-24 07:11:19,㈜딥오토,[전환형 인턴] Industrial AI Business Strategy & Planning,경영·비즈니스기획,,(상시/수시),1787552730-8,https://www.jobkorea.co.kr/Top100/?Main_Career_Type=1&Search_Type=1&BizJobtype_Bctgr_Code=10026&BizJobtype_Bctgr_Name=%EA%B8%B0%ED%9A%8D%C2%B7%EC%A0%84%EB%9E%B5&BizJobtype_Code=1000414&BizJobtype_Name=AI%EA%B8%B0%ED%9A%8D%EC%9E%90&Major_Big_Code=0&Major_Big_Name=%EC%A0%84%EC%B2%B4&Major_Code=0&Major_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Code=9&Edu_Level_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Name=%EC%A0%84%EC%B2%B4&MidScroll=&duty-depth1=on,경영·비즈니스기획,PL·PM·PO,컨설턴트,AI기획자 외,상승1,인턴·신입·경력,인턴,상승,8,학력무관,관심기업,스크랩,홈페이지 지원,서울,nan,nan,nan,nan,nan,nan,nan,nan,nan
jobkorea,jobkorea_webscraper.xlsx,,2026-08-24 07:11:19,㈜소프트웍스,서비스 시스템 Figma 화면기획,웹기획,,2026-09-11,1787552730-9,https://www.jobkorea.co.kr/Top100/?Main_Career_Type=1&Search_Type=1&BizJobtype_Bctgr_Code=10026&BizJobtype_Bctgr_Name=%EA%B8%B0%ED%9A%8D%C2%B7%EC%A0%84%EB%9E%B5&BizJobtype_Code=1000414&BizJobtype_Name=AI%EA%B8%B0%ED%9A%8D%EC%9E%90&Major_Big_Code=0&Major_Big_Name=%EC%A0%84%EC%B2%B4&Major_Code=0&Major_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Code=9&Edu_Level_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Name=%EC%A0%84%EC%B2%B4&MidScroll=&duty-depth1=on,웹기획,AI기획자,,,하락1,신입·경력,프리랜서,하락,9,학력무관,관심기업,스크랩,즉시지원,서울,nan,nan,nan,nan,nan,nan,nan,nan,nan
jobkorea,jobkorea_webscraper.xlsx,,2026-08-24 07:11:19,㈜비상교육,비상교육 인재 상시 영입,웹기획,,(상시/수시),1787552730-10,https://www.jobkorea.co.kr/Top100/?Main_Career_Type=1&Search_Type=1&BizJobtype_Bctgr_Code=10026&BizJobtype_Bctgr_Name=%EA%B8%B0%ED%9A%8D%C2%B7%EC%A0%84%EB%9E%B5&BizJobtype_Code=1000414&BizJobtype_Name=AI%EA%B8%B0%ED%9A%8D%EC%9E%90&Major_Big_Code=0&Major_Big_Name=%EC%A0%84%EC%B2%B4&Major_Code=0&Major_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Code=9&Edu_Level_Name=%EC%A0%84%EC%B2%B4&Edu_Level_Name=%EC%A0%84%EC%B2%B4&MidScroll=&duty-depth1=on,웹기획,경영·비즈니스기획,PL·PM·PO,마케팅기획 외,유지,신입·경력,"정규직, 계약직",유지,10,학력무관,관심기업,스크랩,홈페이지 지원,경기,nan,nan,nan,nan,nan,nan,nan,nan,nan
